name,address,openTime,closeTime,listedPhone,source,sourceUrl,categories,images
Scissor Stories Salon,"SCO 12, Sector 10, Panchkula, Haryana",10:00,20:30,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/scissor-stories,"{""primary"":""hair"",""related"":[""styling"",""color""]}","[""https://images.unsplash.com/photo-1560066984-138dadb4c035?auto=format&fit=crop&q=80&w=800""]"
Urban Glow Studio,"Booth 45, Sector 11 Market, Panchkula, Haryana",10:30,21:00,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/urban-glow,"{""primary"":""beauty"",""related"":[""facial"",""cleanup""]}","[""https://images.unsplash.com/photo-1487412947147-5cebf100ffc2?auto=format&fit=crop&q=80&w=800""]"
The Hair District,"SCO 88, Sector 8, Panchkula, Haryana",09:30,20:00,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/hair-district,"{""primary"":""hair"",""related"":[""cut"",""spa""]}","[""https://images.unsplash.com/photo-1521590832167-7bcbfaa6381f?auto=format&fit=crop&q=80&w=800""]"
Aura Unisex Salon,"SCO 201, Sector 14, Panchkula, Haryana",10:00,21:00,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/aura-unisex,"{""primary"":""unisex"",""related"":[""hair"",""grooming""]}","[""https://images.unsplash.com/photo-1633681926035-ec1ac984418a?auto=format&fit=crop&q=80&w=800""]"
Polish & Pearl Beauty Lounge,"SCO 9, Sector 16, Panchkula, Haryana",10:30,20:30,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/polish-pearl,"{""primary"":""beauty"",""related"":[""nails"",""waxing""]}","[""https://images.unsplash.com/photo-1604654894610-df63bc536371?auto=format&fit=crop&q=80&w=800""]"
Trim Culture Men Salon,"SCO 33, Sector 20, Panchkula, Haryana",09:30,20:30,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/trim-culture,"{""primary"":""men"",""related"":[""beard"",""haircut""]}","[""https://images.unsplash.com/photo-1503951458645-643d53bfd90f?auto=format&fit=crop&q=80&w=800""]"
Blush Bar Studio,"SCO 77, Sector 21, Panchkula, Haryana",10:00,21:00,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/blush-bar,"{""primary"":""makeup"",""related"":[""bridal"",""party""]}","[""https://images.unsplash.com/photo-1522337360788-8b13dee7a37e?auto=format&fit=crop&q=80&w=800""]"
Mirror & Mane Salon,"SCO 44, Sector 5, Panchkula, Haryana",10:00,20:30,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/mirror-mane,"{""primary"":""hair"",""related"":[""rebonding"",""smoothening""]}","[""https://images.unsplash.com/photo-1519699047748-de8e457a634e?auto=format&fit=crop&q=80&w=800""]"
Bella Vita Spa & Salon,"SCO 121, MDC Sector 4, Panchkula, Haryana",10:30,21:30,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/bella-vita,"{""primary"":""spa"",""related"":[""massage"",""facial""]}","[""https://images.unsplash.com/photo-1540555700478-4be289fbecef?auto=format&fit=crop&q=80&w=800""]"
Studio Shears,"Shop 18, Sector 7, Panchkula, Haryana",10:00,20:00,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/studio-shears,"{""primary"":""hair"",""related"":[""cut"",""color""]}","[""https://images.unsplash.com/photo-1562322140-8baeececf3df?auto=format&fit=crop&q=80&w=800""]"
Kurl & Kontour Salon,"SCO 53, Sector 9, Panchkula, Haryana",10:00,21:00,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/kurl-kontour,"{""primary"":""unisex"",""related"":[""styling"",""facial""]}","[""https://images.unsplash.com/photo-1487412720507-e7ab37603c6f?auto=format&fit=crop&q=80&w=800""]"
Glow Avenue Beauty Clinic,"SCO 26, Sector 6, Panchkula, Haryana",11:00,20:30,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/glow-avenue,"{""primary"":""skin"",""related"":[""cleanup"",""peel""]}","[""https://images.unsplash.com/photo-1519014816548-bf5fe059798b?auto=format&fit=crop&q=80&w=800""]"
The Beard Lab,"SCO 101, Sector 17, Panchkula, Haryana",09:30,20:00,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/beard-lab,"{""primary"":""men"",""related"":[""beard"",""grooming""]}","[""https://images.unsplash.com/photo-1517832606299-7ae9b720a186?auto=format&fit=crop&q=80&w=800""]"
Opal Hair & Beauty,"SCO 66, Sector 15, Panchkula, Haryana",10:00,20:30,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/opal-hair-beauty,"{""primary"":""beauty"",""related"":[""hair"",""makeup""]}","[""https://images.unsplash.com/photo-1469334031218-e382a71b716b?auto=format&fit=crop&q=80&w=800""]"
Royal Touch Salon,"SCO 31, Sector 12A, Panchkula, Haryana",10:00,21:00,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/royal-touch,"{""primary"":""unisex"",""related"":[""spa"",""hair""]}","[""https://images.unsplash.com/photo-1559599101-f09722fb4948?auto=format&fit=crop&q=80&w=800""]"
MDC Makeover Lounge,"SCO 14, MDC Sector 5, Panchkula, Haryana",10:30,21:00,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/mdc-makeover,"{""primary"":""beauty"",""related"":[""bridal"",""hair""]}","[""https://images.unsplash.com/photo-1498843053639-170ff2122f35?auto=format&fit=crop&q=80&w=800""]"
Sapphire Unisex Studio,"SCO 51, Sector 2, Panchkula, Haryana",10:00,20:30,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/sapphire-unisex,"{""primary"":""unisex"",""related"":[""color"",""keratin""]}","[""https://images.unsplash.com/photo-1515377905703-c4788e51af15?auto=format&fit=crop&q=80&w=800""]"
Zen Roots Spa,"SCO 19, Sector 25, Panchkula, Haryana",11:00,21:30,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/zen-roots,"{""primary"":""spa"",""related"":[""massage"",""wellness""]}","[""https://images.unsplash.com/photo-1600334129128-685c5582fd35?auto=format&fit=crop&q=80&w=800""]"
Knot & Comb Salon,"SCO 104, Sector 26, Panchkula, Haryana",10:00,20:00,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/knot-comb,"{""primary"":""hair"",""related"":[""cut"",""styling""]}","[""https://images.unsplash.com/photo-1522337360788-8b13dee7a37e?auto=format&fit=crop&q=80&w=800""]"
Prime Gents Lounge,"SCO 74, Sector 27, Panchkula, Haryana",09:30,20:30,9070600540,CURSOR_AI_PANCHKULA_SEED,https://example.com/panchkula/prime-gents,"{""primary"":""men"",""related"":[""haircut"",""beard""]}","[""https://images.unsplash.com/photo-1621605815971-fbc98d665033?auto=format&fit=crop&q=80&w=800""]"
